CITY,PRICE,STATE,COUNTY,ZIPCODE,LISTINGTYPE,PROPERTYTYPE,TOP_CHANNEL,RENTAL_TRANSACTIONTYPE,TOP_FINANCINGTYPE,LOG_PRICE,CONVERTED_FLAG,DOM_TO_MKT_RATIO,PSQFT_VS_MKT,RENT_TO_MKT_RATIO,SUPPLY_PRESSURE,DAYS_LISTED,LISTING_MONTH,IS_SPRING_LISTING,IS_SUMMER_LISTING,PRICE_REDUCTION_COUNT,HAS_PRICE_REDUCTION,PRICE_REDUCTION_PCT,INQUIRIES_PER_DOM,LOG_AVG_RESPONSETIMEHRS,LOG_AVG_FOLLOWUPCOUNT,GEO_CLUSTER,YEARBUILT_MISSING,LOTSIZE_MISSING
Austin,1599,TX,Travis,78728,Standard,Condo,Realtor.com,Rental,Conventional,7.3777589082278725,0,0.022888532845044635,0.008260661212460486,0.9853031175750595,0.27848101265822783,7,2,0,0,0,0,0.05663716814159292,1.0,3.686376323895818,1.0986122886681098,14,0,1
Austin,1095,TX,Travis,78757,Standard,Condo,Walk-in,Rental,Conventional,6.999422467507961,0,0.009739943508327652,0.003673791473582923,0.9853031175750595,0.23636363636363636,7,2,0,0,0,0,0.0,1.0,3.32862668882732,1.0986122886681098,14,1,1
Austin,2270,TX,Travis,78724,Standard,Single Family,Realtor.com,Rental,Conventional,7.7279755421055585,0,0.012405408758218583,0.006568239143626615,0.9853031175750595,0.29292929292929293,7,2,0,0,0,0,0.0,1.0,2.7343675094195836,0.0,3,0,0
Austin,1195,TX,Travis,78704,Standard,Condo,Direct Website,Rental,Conventional,7.086737934510577,0,0.01008267795926598,0.0033255597793720674,0.9853031175750595,0.17194570135746606,7,2,0,0,0,0,0.0,1.0,3.730501128804756,1.791759469228055,3,0,0
Austin,1399,TX,Travis,78753,Standard,Single Family,Agent Referral,Rental,Conventional,7.24422751560335,0,0.008682062858135092,0.007019624843952586,0.9853031175750595,0.058823529411764705,7,2,0,0,0,0,0.0,1.0,3.520460802488973,1.0986122886681098,14,1,1
Austin,1700,TX,Travis,78745,Standard,Single Family,Realtor.com,Rental,Conventional,7.438971592395862,0,0.019230769230769232,0.006977448803379843,0.9853031175750595,0.18181818181818182,7,2,0,0,0,0,0.0,1.0,3.2308043957334744,1.791759469228055,3,1,1
Austin,755,TX,Travis,78748,Standard,Condo,Realtor.com,Rental,Conventional,6.628041376179533,0,0.011544677903486492,0.004321971414309332,0.9853031175750595,0.2692307692307692,7,2,0,0,0,0,0.14204545454545456,1.0,1.0296194171811581,1.6094379124341003,3,1,1
Austin,1100,TX,Travis,78749,Standard,Condo,Zillow,Rental,Conventional,7.00397413672268,0,0.01465630954125751,0.005995792044129029,0.9853031175750595,0.3373493975903614,7,2,0,0,0,0,0.0,1.0,3.3214324131932926,0.6931471805599453,3,1,1
Austin,1050,TX,Travis,78703,Standard,Apartment,Agent Referral,Rental,Conventional,6.957497370876951,0,0.010075566750629723,0.0027255595184325697,0.9853031175750595,0.15789473684210525,7,2,0,0,0,0,0.0,1.0,3.883623530906448,1.791759469228055,3,1,1
Austin,1760,TX,Travis,78725,Standard,Single Family,Zillow,Rental,Conventional,7.473637108496206,0,0.041237113402061855,0.005732567019408452,0.9853031175750595,0.25,7,2,0,0,0,0,0.0,1.0,1.3609765531356006,1.0986122886681098,3,1,1
Austin,795,TX,Travis,78702,Standard,Single Family,Phone Call,Rental,Conventional,6.679599185844383,1,0.010383137784238397,0.0036799538149595167,0.9811320754716981,0.21333333333333335,7,2,0,0,0,0,0.0,1.0,3.7471483622379123,1.6094379124341003,3,0,0
